一个女孩,1girl
一个男孩,1boy
1个男性,1boy
1个女性,1girl
单格漫画,1koma
1个非人类,1other
2个男性,2boys
2个女性,2girls
双分镜漫画,2koma
2个非人类,2others
3个男性,3boys
3D,3d
3个女性,3girls
三格漫画,3koma
4个男性,4boys
4个女性,4girls
四格漫画,4koma
5个男性,5boys
5个女性,5girls
五格漫画,5koma
6个以上的男性,6+boys
6个以上的女性,6+girls
初音未来,39
69(体位),69
20世纪70年代(风格),1970s_(style)
20世纪80年代(风格),1980s_(style)
90年代(风格),1990s_(style)
腹肌,abs
大合影|全家福,absolutely_everyone
抽象,abstract
抽象背景,abstract_background
超长的头发,absurdly_long_hair
虐待,abuse
原声吉他,acoustic_guitar
亚克力画风,acrylic_paint_(medium)
原设服装改编,adapted_costume
改装制服,adapted_uniform
拨弄衣服,adjusting_clothes
扶眼镜,adjusting_eyewear
拨弄手套,adjusting_gloves
理头发,adjusting_hair
整理帽子,adjusting_hat
整理头饰,adjusting_headwear
整理裤袜,adjusting_legwear
拨内裤,adjusting_panties
拨弄泳衣,adjusting_swimsuit
空中烟火,aerial_fireworks
原初之火(武器),aestus_estus
漂浮,afloat
鸟窝头|爆炸头,afro
肛交后,after_anal
口交后,after_fellatio
接吻后,after_kiss
乳交后,after_paizuri
事后,after_sex
事后阴道特写,after_vaginal
事后余韵,afterglow
残像,afterimage
压在玻璃上,against_glass
压在墙上,against_wall
年龄差,age_difference
年龄段展现,age_progression
幼化,age_regression
阿嘿颜,ahegao
呆毛,ahoge
绶带,aiguillette
瞄准,aiming
瞄准了读者(的视角),aiming_at_viewer
阿伊努人的服饰,ainu_clothes
气泡,air_bubble
空调,air_conditioner
飞行器,aircraft
飞机,airplane
飞艇,airship
笠帽,ajirogasa
拉下眼睑的鬼脸,akanbe
新年伊始,akeome
闹钟,alarm_clock
白化病,albino
专辑封面,album_cover
酒,alcohol
外星人,alien
母豹pose,all_fours
小巷,alley
阿罗拉形态(宝可梦),alolan_form
阿尔法签名(推特用),alpha_signature
阿尔卑斯风格,alphes_(style)
